Name,Dex Number,Gen,Type 1,Type 2,Classification,Height (meters),Weight (kg),BST,HP,Attack,Defense,Special Atk.,Special Def.,Speed,Ability 1,Ability 2,Ability 3,Ability Hidden,Psuedo-legendary,Legendary,Mythical,Base Evolution,Stage 1 Evolution,Stage 2 Evolution,Flavor text
Skiploom,188,II,grass,flying,Cottonweed Pokémon,0.6,1,340,55,45,50,45,65,80,Chlorophyll,Leaf Guard,,Infiltrator,0,0,0,Hoppip,Skiploom,Jumpluff,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer."
Jumpluff,189,II,grass,flying,Cottonweed Pokémon,0.8,3,460,75,55,70,55,95,110,Chlorophyll,Leaf Guard,,Infiltrator,0,0,0,Hoppip,Skiploom,Jumpluff,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
Aipom,190,II,normal,,Long Tail Pokémon,0.8,11.5,360,55,70,55,40,55,85,Run Away,Pickup,,Skill Link,0,0,0,Aipom,Ambipom,,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops."
Sunkern,191,II,grass,,Seed Pokémon,0.3,1.8,180,30,30,30,30,30,30,Chlorophyll,Solar Power,,Early Bird,0,0,0,Sunkern,Sunflora,,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew."
Sunflora,192,II,grass,,Sun Pokémon,0.8,8.5,425,75,75,55,105,85,30,Chlorophyll,Solar Power,,Early Bird,0,0,0,Sunkern,Sunflora,,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.
Yanma,193,II,bug,flying,Clear Wing Pokémon,1.2,38,390,65,65,45,75,45,95,Speed Boost,Compound Eyes,,Frisk,0,0,0,Yanma,Yanmega,,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.
Wooper,194,II,water,ground,Water Fish Pokémon,0.4,8.5,210,55,45,45,25,25,15,Damp,Water Absorb,,Unaware,0,0,0,Wooper,Quagsire,,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
Quagsire,195,II,water,ground,Water Fish Pokémon,1.4,75,430,95,85,85,65,65,35,Damp,Water Absorb,,Unaware,0,0,0,Wooper,Quagsire,,It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.
Espeon,196,II,psychic,,Sun Pokémon,0.9,26.5,525,65,65,60,130,95,110,Synchronize,,,Magic Bounce,0,0,0,Eevee,Espeon,,"By reading air currents, it can predict things such as the weather or its foe’s next move."
Umbreon,197,II,dark,,Moonlight Pokémon,1,27,525,95,65,110,60,130,65,Synchronize,,,Inner Focus,0,0,0,Eevee,Umbreon,,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes."
Murkrow,198,II,dark,flying,Darkness Pokémon,0.5,2.1,405,60,85,42,85,42,91,Insomnia,Super Luck,,Prankster,0,0,0,Murkrow,Honchkrow,,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.
Slowking,199,II,water,psychic,Royal Pokémon,2,79.5,490,95,75,80,100,110,30,Oblivious,Own Tempo,,Regenerator,0,0,0,Slowpoke,Slowking,,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain."
Misdreavus,200,II,ghost,,Screech Pokémon,0.7,1,435,60,60,60,85,85,85,Levitate,,,,0,0,0,Misdreavus,Mismagius,,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking."
Unown,201,II,psychic,,Symbol Pokémon,0.5,5,336,48,72,48,72,48,48,Levitate,,,,0,0,0,Unown,,,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known."
Wobbuffet,202,II,psychic,,Patient Pokémon,1.3,28.5,405,190,33,58,33,58,33,Shadow Tag,,,Telepathy,0,0,0,Wynaut,Wobbuffet,,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
Girafarig,203,II,normal,psychic,Long Neck Pokémon,1.5,41.5,455,70,80,65,90,65,85,Inner Focus,Early Bird,,Sap Sipper,0,0,0,Girafarig,,,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite."
Pineco,204,II,bug,,Bagworm Pokémon,0.6,7.2,290,50,65,90,35,35,15,Sturdy,,,Overcoat,0,0,0,Pineco,Forretress,,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly."
Forretress,205,II,bug,steel,Bagworm Pokémon,1.2,125.8,465,75,90,140,60,60,40,Sturdy,,,Overcoat,0,0,0,Pineco,Forretress,,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex."
Dunsparce,206,II,normal,,Land Snake Pokémon,1.5,14,415,100,70,70,65,65,45,Serene Grace,Run Away,,Rattled,0,0,0,Dunsparce,,,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.
Gligar,207,II,ground,flying,Flyscorpion Pokémon,1.1,64.8,430,65,75,105,35,65,85,Hyper Cutter,Sand Veil,,Immunity,0,0,0,Gligar,Gliscor,,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
Steelix,208,II,steel,ground,Iron Snake Pokémon,9.2,400,510,75,85,200,55,65,30,Rock Head,Sturdy,,Sheer Force,0,0,0,Onix,Steelix,,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
Snubbull,209,II,fairy,,Fairy Pokémon,0.6,7.8,300,60,80,50,40,40,30,Intimidate,Run Away,,Rattled,0,0,0,Snubbull,Granbull,,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.
Granbull,210,II,fairy,,Fairy Pokémon,1.4,48.7,450,90,120,75,60,60,45,Intimidate,Quick Feet,,Rattled,0,0,0,Snubbull,Granbull,,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might."
Qwilfish,211,II,water,poison,Balloon Pokémon,0.5,3.9,440,65,95,85,55,55,85,Poison Point,Swift Swim,,Intimidate,0,0,0,Qwilfish,,,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size."
Scizor,212,II,bug,steel,Pincer Pokémon,1.8,118,500,70,130,100,55,80,65,Swarm,Technician,,Light Metal,0,0,0,Scyther,Scizor,,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.
Shuckle,213,II,bug,rock,Mold Pokémon,0.6,20.5,505,20,10,230,10,230,5,Sturdy,Gluttony,,Contrary,0,0,0,Shuckle,,,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
Heracross,214,II,bug,fighting,Singlehorn Pokémon,1.5,54,500,80,125,75,40,95,85,Swarm,Guts,,Moxie,0,0,0,Heracross,,,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.
Sneasel,215,II,dark,ice,Sharp Claw Pokémon,0.9,28,430,55,95,55,35,75,115,Inner Focus,Keen Eye,,Pickpocket,0,0,0,Sneasel,Weavile,,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
Teddiursa,216,II,normal,,Little Bear Pokémon,0.6,8.8,330,60,80,50,50,50,40,Pickup,Quick Feet,,Honey Gather,0,0,0,Teddiursa,Ursaring,,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
Ursaring,217,II,normal,,Hibernator Pokémon,1.8,125.8,500,90,130,75,75,75,55,Guts,Quick Feet,,Unnerve,0,0,0,Teddiursa,Ursaring,,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day."
Slugma,218,II,fire,,Lava Pokémon,0.7,35,250,40,40,40,70,40,20,Magma Armor,Flame Body,,Weak Armor,0,0,0,Slugma,Magcargo,,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size."
Magcargo,219,II,fire,rock,Lava Pokémon,0.8,55,430,60,50,120,90,80,30,Magma Armor,Flame Body,,Weak Armor,0,0,0,Slugma,Magcargo,,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.
Swinub,220,II,ice,ground,Pig Pokémon,0.4,6.5,250,50,50,40,30,30,50,Oblivious,Snow Cloak,,Thick Fat,0,0,0,Swinub,Piloswine,Mamoswine,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
Piloswine,221,II,ice,ground,Swine Pokémon,1.1,55.8,450,100,100,80,60,60,50,Oblivious,Snow Cloak,,Thick Fat,0,0,0,Swinub,Piloswine,Mamoswine,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
Corsola,222,II,water,rock,Coral Pokémon,0.6,5,410,65,55,95,65,95,35,Hustle,Natural Cure,,Regenerator,0,0,0,Corsola,Cursola,,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.
Remoraid,223,II,water,,Jet Pokémon,0.6,12,300,35,65,35,65,35,65,Hustle,Sniper,,Moody,0,0,0,Remoraid,Octillery,,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
Octillery,224,II,water,,Jet Pokémon,0.9,28.5,480,75,105,75,105,75,45,Suction Cups,Sniper,,Moody,0,0,0,Remoraid,Octillery,,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
Delibird,225,II,ice,flying,Delivery Pokémon,0.9,16,330,45,55,45,65,45,75,Vital Spirit,Hustle,,Insomnia,0,0,0,Delibird,,,It carries food all day long. There are tales about lost people who were saved by the food it had.
Mantine,226,II,water,flying,Kite Pokémon,2.1,220,485,85,40,70,80,140,70,Swift Swim,Water Absorb,,Water Veil,0,0,0,Mantyke,Mantine,,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet."
Skarmory,227,II,steel,flying,Armor Bird Pokémon,1.7,50.5,465,65,80,140,40,70,70,Keen Eye,Sturdy,,Weak Armor,0,0,0,Skarmory,,,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.
Houndour,228,II,dark,fire,Dark Pokémon,0.6,10.8,330,45,60,30,80,50,65,Early Bird,Flash Fire,,Unnerve,0,0,0,Houndour,Houndoom,,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders."
Houndoom,229,II,dark,fire,Dark Pokémon,1.4,35,500,75,90,50,110,80,95,Early Bird,Flash Fire,,Unnerve,0,0,0,Houndour,Houndoom,,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.
Kingdra,230,II,water,dragon,Dragon Pokémon,1.8,152,540,75,95,95,95,95,85,Swift Swim,Sniper,,Damp,0,0,0,Horsea,Seadra,Kingdra,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues."
Phanpy,231,II,ground,,Long Nose Pokémon,0.5,33.5,330,90,60,60,40,40,40,Pickup,,,Sand Veil,0,0,0,Phanpy,Donphan,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed."
Donphan,232,II,ground,,Armor Pokémon,1.1,120,500,90,120,120,60,60,50,Sturdy,,,Sand Veil,0,0,0,Phanpy,Donphan,,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily."
Porygon2,233,II,normal,,Virtual Pokémon,0.6,32.5,515,85,80,90,105,95,60,Trace,Download,,Analytic,0,0,0,Porygon,Porygon2,Porygon-Z,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.
Stantler,234,II,normal,,Big Horn Pokémon,1.4,71.2,465,73,95,62,85,65,85,Intimidate,Frisk,,Sap Sipper,0,0,0,Stantler,,,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
Smeargle,235,II,normal,,Painter Pokémon,1.2,58,250,55,20,35,20,45,75,Own Tempo,Technician,,Moody,0,0,0,Smeargle,,,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.
Tyrogue,236,II,fighting,,Scuffle Pokémon,0.7,21,210,35,35,35,35,35,35,Guts,Steadfast,,Vital Spirit,0,0,0,Tyrogue,,,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
Hitmontop,237,II,fighting,,Handstand Pokémon,1.4,48,455,50,95,95,35,110,70,Intimidate,Technician,,Steadfast,0,0,0,Tyrogue,Hitmontop,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
Smoochum,238,II,ice,psychic,Kiss Pokémon,0.4,6,305,45,30,15,85,65,65,Oblivious,Forewarn,,Hydration,0,0,0,Smoochum,Jynx,,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care."
Elekid,239,II,electric,,Electric Pokémon,0.6,23.5,360,45,63,37,65,55,95,Static,,,Vital Spirit,0,0,0,Elekid,Electabuzz,Electivire,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy."
Magby,240,II,fire,,Live Coal Pokémon,0.7,21.4,365,45,75,37,70,55,83,Flame Body,,,Vital Spirit,0,0,0,Magby,Magmar,Magmortar,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose."
Miltank,241,II,normal,,Milk Cow Pokémon,1.2,75.5,490,95,80,105,40,70,100,Thick Fat,Scrappy,,Sap Sipper,0,0,0,Miltank,,,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times."
Blissey,242,II,normal,,Happiness Pokémon,1.5,46.8,540,255,10,10,75,135,55,Natural Cure,Serene Grace,,Healer,0,0,0,Happiny,Chansey,Blissey,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better."
Raikou,243,II,electric,,Thunder Pokémon,1.9,178,580,90,85,75,115,100,115,Pressure,,,Inner Focus,1,0,0,Raikou,,,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
Entei,244,II,fire,,Volcano Pokémon,2.1,198,580,115,115,85,90,75,100,Pressure,,,Inner Focus,1,0,0,Entei,,,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
Suicune,245,II,water,,Aurora Pokémon,2,187,580,100,75,115,90,115,85,Pressure,,,Inner Focus,1,0,0,Suicune,,,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
Larvitar,246,II,rock,ground,Rock Skin Pokémon,0.6,72,300,50,64,50,45,50,41,Guts,,,Sand Veil,0,0,0,Larvitar,Pupitar,Tyranitar,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
Pupitar,247,II,rock,ground,Hard Shell Pokémon,1.2,152,410,70,84,70,65,70,51,Shed Skin,,,,0,0,0,Larvitar,Pupitar,Tyranitar,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
Tyranitar,248,II,rock,dark,Armor Pokémon,2,202,600,100,134,110,95,100,61,Sand Stream,,,Unnerve,0,0,0,Larvitar,Pupitar,Tyranitar,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies."
Lugia,249,II,psychic,flying,Diving Pokémon,5.2,216,680,106,90,130,90,154,110,Pressure,,,Multiscale,0,1,0,Lugia,,,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
Ho-Oh,250,II,fire,flying,Rainbow Pokémon,3.8,199,680,106,130,90,110,154,90,Pressure,,,Regenerator,0,1,0,Ho-Oh,,,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
Celebi,251,II,psychic,grass,Time Travel Pokémon,0.6,5,600,100,100,100,100,100,100,Natural Cure,,,,0,0,1,Celebi,,,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us."
Treecko,252,III,grass,,Wood Gecko Pokémon,0.5,5,310,40,45,35,65,55,70,Overgrow,,,Unburden,0,0,0,Treecko,Grovyle,Sceptile,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.
Grovyle,253,III,grass,,Wood Gecko Pokémon,0.9,21.6,405,50,65,45,85,65,95,Overgrow,,,Unburden,0,0,0,Treecko,Grovyle,Sceptile,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.
Sceptile,254,III,grass,,Forest Pokémon,1.7,52.2,530,70,85,65,105,85,120,Overgrow,,,Unburden,0,0,0,Treecko,Grovyle,Sceptile,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.
Torchic,255,III,fire,,Chick Pokémon,0.4,2.5,310,45,60,40,70,50,45,Blaze,,,Speed Boost,0,0,0,Torchic,Combusken,Blaziken,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black."
Combusken,256,III,fire,fighting,Young Fowl Pokémon,0.9,19.5,405,60,85,60,85,60,55,Blaze,,,Speed Boost,0,0,0,Torchic,Combusken,Blaziken,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second."
Blaziken,257,III,fire,fighting,Blaze Pokémon,1.9,52,530,80,120,70,110,70,80,Blaze,,,Speed Boost,0,0,0,Torchic,Combusken,Blaziken,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn."
Mudkip,258,III,water,,Mud Fish Pokémon,0.4,7.6,310,50,70,50,50,50,40,Torrent,,,Damp,0,0,0,Mudkip,Marshtomp,Swampert,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes."
Marshtomp,259,III,water,ground,Mud Fish Pokémon,0.7,28,405,70,85,70,60,70,50,Torrent,,,Damp,0,0,0,Mudkip,Marshtomp,Swampert,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low."
Swampert,260,III,water,ground,Mud Fish Pokémon,1.5,81.9,535,100,110,90,85,90,60,Torrent,,,Damp,0,0,0,Mudkip,Marshtomp,Swampert,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.
Poochyena,261,III,dark,,Bite Pokémon,0.5,13.6,220,35,55,35,30,30,35,Run Away,Quick Feet,,Rattled,0,0,0,Poochyena,Mightyena,,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
Mightyena,262,III,dark,,Bite Pokémon,1,37,420,70,90,70,60,60,70,Intimidate,Quick Feet,,Moxie,0,0,0,Poochyena,Mightyena,,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.
Zigzagoon,263,III,normal,dark,Tiny Racoon Pokémon,0.4,17.5,240,38,30,41,30,41,60,Pickup,Gluttony,,Quick Feet,0,0,0,Zigzagoon,Linoone,,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.
Linoone,264,III,normal,dark,Rush Pokémon,0.5,32.5,420,78,70,61,50,61,100,Pickup,Gluttony,,Quick Feet,0,0,0,Zigzagoon,Linoone,,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.
Wurmple,265,III,bug,,Worm Pokémon,0.3,3.6,195,45,45,35,20,30,20,Shield Dust,,,Run Away,0,0,0,Wurmple,Silcoon,Beautifly,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon’s feet are tipped with suction pads that allow it to cling to glass without slipping."
Silcoon,266,III,bug,,Cocoon Pokémon,0.6,10,205,50,35,55,25,25,15,Shed Skin,,,,0,0,0,Wurmple,Silcoon,Beautifly,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
Beautifly,267,III,bug,flying,Butterfly Pokémon,1,28.4,395,60,70,50,100,50,65,Swarm,,,Rivalry,0,0,0,Wurmple,Silcoon,Beautifly,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen."
Cascoon,268,III,bug,,Cocoon Pokémon,0.7,11.5,205,50,35,55,25,25,15,Shed Skin,,,,0,0,0,Wurmple,Silcoon,Beautifly,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon."
Dustox,269,III,bug,poison,Poison Moth Pokémon,1.2,31.6,385,60,50,70,50,90,65,Shield Dust,,,Compound Eyes,0,0,0,Wurmple,Silcoon,Beautifly,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
Lotad,270,III,water,grass,Water Weed Pokémon,0.5,2.6,220,40,30,30,40,50,30,Swift Swim,Rain Dish,,Own Tempo,0,0,0,Lotad,Lombre,Ludicolo,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
Lombre,271,III,water,grass,Jolly Pokémon,1.2,32.5,340,60,50,50,60,70,50,Swift Swim,Rain Dish,,Own Tempo,0,0,0,Lotad,Lombre,Ludicolo,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.
Ludicolo,272,III,water,grass,Carefree Pokémon,1.5,55,480,80,70,70,90,100,70,Swift Swim,Rain Dish,,Own Tempo,0,0,0,Lotad,Lombre,Ludicolo,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful."
Seedot,273,III,grass,,Acorn Pokémon,0.5,4,220,40,40,50,30,30,30,Chlorophyll,Early Bird,,Pickpocket,0,0,0,Seedot,Nuzleaf,Shiftry,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon."
Nuzleaf,274,III,grass,dark,Wily Pokémon,1,28,340,70,70,40,60,40,60,Chlorophyll,Early Bird,,Pickpocket,0,0,0,Seedot,Nuzleaf,Shiftry,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
Shiftry,275,III,grass,dark,Wickid Pokémon,1.3,59.6,480,90,100,60,90,60,80,Chlorophyll,Early Bird,,Pickpocket,0,0,0,Seedot,Nuzleaf,Shiftry,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.
Taillow,276,III,normal,flying,TinySwallow Pokémon,0.3,2.3,270,40,55,30,30,30,85,Guts,,,Scrappy,0,0,0,Taillow,Swellow,,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
Swellow,277,III,normal,flying,Swallow Pokémon,0.7,19.8,455,60,85,60,75,50,125,Guts,,,Scrappy,0,0,0,Taillow,Swellow,,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow’s clawed feet, preventing escape."
Wingull,278,III,water,flying,Seagull Pokémon,0.6,9.5,270,40,30,30,55,30,85,Keen Eye,Hydration,,Rain Dish,0,0,0,Wingull,Pelipper,,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies."
Pelipper,279,III,water,flying,Water Bird Pokémon,1.2,28,440,60,50,100,95,70,65,Keen Eye,Drizzle,,Rain Dish,0,0,0,Wingull,Pelipper,,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
Ralts,280,III,psychic,fairy,Feeling Pokémon,0.4,6.6,198,28,25,25,45,35,40,Synchronize,Trace,,Telepathy,0,0,0,Ralts,Kirlia,Gardevoir,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.
Kirlia,281,III,psychic,fairy,Emotion Pokémon,0.8,20.2,278,38,35,35,65,55,50,Synchronize,Trace,,Telepathy,0,0,0,Ralts,Kirlia,Gardevoir,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about."
Gardevoir,282,III,psychic,fairy,Embrace Pokémon,1.6,48.4,518,68,65,65,125,115,80,Synchronize,Trace,,Telepathy,0,0,0,Ralts,Kirlia,Gardevoir,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
Surskit,283,III,bug,water,Pond Skater Pokémon,0.5,1.7,269,40,30,32,50,52,65,Swift Swim,,,Rain Dish,0,0,0,Surskit,Masquerain,,"If it’s in a pinch, it will secrete a sweet liquid from the tip of its head. Syrup made from gathering that liquid is tasty on bread."
Masquerain,284,III,bug,flying,Eyeball Pokémon,0.8,3.6,454,70,60,62,100,82,80,Intimidate,,,Unnerve,0,0,0,Surskit,Masquerain,,"Masquerain intimidates enemies with the eyelike patterns of its eyespots. If that doesn’t work, it deftly makes its escape on its set of four wings."
Shroomish,285,III,grass,,Mushroom Pokémon,0.4,4.5,295,60,40,60,40,60,35,Effect Spore,Poison Heal,,Quick Feet,0,0,0,Shroomish,Breloom,,"Shroomish live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This Pokémon feeds on compost that is made up of fallen, rotted leaves."
Breloom,286,III,grass,fighting,Mushroom Pokémon,1.2,39.2,460,60,130,80,60,60,70,Effect Spore,Poison Heal,,Technician,0,0,0,Shroomish,Breloom,,"Breloom closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This Pokémon’s fighting technique puts boxers to shame."
Slakoth,287,III,normal,,Slacker Pokémon,0.8,24,280,60,60,60,35,35,30,Truant,,,,0,0,0,Slakoth,Vigoroth,Slaking,"Slakoth lolls around for over 20 hours every day. Because it moves so little, it does not need much food. This Pokémon’s sole daily meal consists of just three leaves."
Vigoroth,288,III,normal,,Wild Monkey Pokémon,1.4,46.5,440,80,80,80,55,55,90,Vital Spirit,,,,0,0,0,Slakoth,Vigoroth,Slaking,Vigoroth is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This Pokémon’s stress level rises if it can’t be moving constantly.
Slaking,289,III,normal,,Lazy Pokémon,2,130.5,670,150,160,100,95,65,100,Truant,,,,0,0,0,Slakoth,Vigoroth,Slaking,"Slaking spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this Pokémon reluctantly moves to another spot."
Nincada,290,III,bug,ground,Trainee Pokémon,0.5,5.5,266,31,45,90,30,30,40,Compoundeyes,,,Run Away,0,0,0,Nincada,,,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead."
Ninjask,291,III,bug,flying,Ninja Pokémon,0.8,12,456,61,90,45,50,50,160,Speed Boost,,,Infiltrator,0,0,0,Nincada,Ninjask,,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.
